dbn,school_name,num of sat test takers,sat critical reading avg. score,sat math avg. score,sat writing avg. score,avg_sat_score,ap test takers,total exams taken,number of exams with scores 3 4 or 5,exams_per_student,high_score_percent,avg_class_size,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total cohort,grads_percent,dropout_percent,boro,lat,long,d75,studentssurveyed,schooltype,rr_s,rr_t,rr_p,nr_s,nr_t,nr_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,2.5,NA,NA,NA,NA,23,88.6,422,22.3,24.9,35,14,29.1,53.8,1.7,61.4,38.6,78,55.1,14.1,Manhattan,40.7137639470004,-73.98526003999967,0,Yes,Middle / High School,89,70,39,425,37,389,7.8,7.7,7.4,7.6,6.3,5.3,6.1,6.5,6,5.6,6.1,6.7,6.7,6.2,6.6,7
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,39,49,10,1.2564102564102564,20.408163265306122,22,71.8,394,21.1,21.8,10,29.2,22.6,45.9,2.3,57.4,42.6,124,42.7,16.1,Manhattan,40.712331851,-73.98479662499966,0,Yes,High School,84,95,10,459,39,445,7.9,7.4,7.2,7.3,6.6,5.8,6.6,7.3,6,5.7,6.3,7,6.8,6.3,6.7,7.2
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,19,21,NA,1.105263157894737,NA,21,71.8,598,5,26.4,19,9.7,23.9,55.4,10.4,54.7,45.3,90,77.8,5.6,Manhattan,40.72978268700046,-73.98304144099967,0,Yes,Middle / High School,0,98,28,566,43,534,8.7,8.2,8.1,8.4,7.3,8,8,8.8,NA,NA,NA,NA,7.9,7.9,7.9,8.4
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,2.5,NA,NA,NA,NA,23,72.8,224,4,8.9,0,2.2,34.4,59.4,3.6,43.3,56.7,NA,NA,NA,NA,NA,NA,0,Yes,High School,40,100,23,167,10,164,8.1,7,6.7,7.6,8.5,8.2,8.9,8.9,6.8,6.1,6.1,6.8,7.8,7.1,7.2,7.8
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,2.5,NA,NA,NA,NA,24,80.7,367,11.2,25.9,36,9.3,31.6,56.9,1.6,46.3,53.7,84,56,6,Manhattan,40.72056907900048,-73.98567269099965,0,Yes,High School,90,100,21,339,28,325,7.7,7.4,7.2,7.3,6.4,5.3,6.1,6.8,6.4,5.9,6.4,7,6.9,6.2,6.6,7
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,24,26,24,1.0833333333333333,92.3076923076923,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,54.4,18.1,NA,NA,NA,0,Yes,High School,95,100,86,477,36,450,8.3,7.2,7.4,7.5,9.1,7.3,8.7,9.1,8,6.3,7,7.3,8.5,7,7.7,8
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,255,377,191,1.4784313725490197,50.663129973474796,26,23,1613,0.2,2.7,0,27.8,11.7,14.2,44.9,49.2,50.8,46,100,0,Manhattan,40.71872545100046,-73.97942638599966,0,Yes,Elementary / Middle / High School,98,68,51,945,98,1446,8.5,7.9,7.9,8.4,7.6,5.6,5.9,7.3,7.3,6.4,7,7.7,7.8,6.7,6.9,7.8
01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,2.5,NA,NA,NA,NA,22,69.8,218,3.2,6.9,0,0.5,45.4,49.5,4.1,39.9,60.1,89,55.1,6.7,NA,NA,NA,0,Yes,High School,75,86,19,166,14,158,9,8.4,8.1,8.6,7.6,7.5,8.3,8.7,8.1,6.9,7.9,8.4,8.3,7.6,8.1,8.6
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,2.5,NA,NA,NA,NA,21,18,617,0.2,0.8,0,15.1,15.1,18.2,49.8,31.3,68.7,139,96.4,0.7,Manhattan,40.71896161700044,-73.97606602099967,0,Yes,High School,98,81,50,571,37,561,8.8,8.2,8.3,9.1,8.2,7.4,7.5,8.3,8.3,7.3,8,8.9,8.5,7.6,8,8.7
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,2.5,NA,NA,NA,NA,16,66.9,174,8,32.2,10,1.7,32.2,59.2,6.3,42.5,57.5,25,76,4,Manhattan,40.73859908700046,-73.98251191099968,0,Yes,High School,72,76,30,152,21,145,8.9,7.7,7.9,8.1,8.1,6.1,7.7,7.2,7.3,6.3,7,7.5,8.1,6.7,7.5,7.6
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194,2.5,NA,NA,NA,NA,23,68.4,433,2.1,18.5,4,3,44.1,47.6,4.8,45,55,102,89.2,2.9,Manhattan,40.7650267080004,-73.99251657799965,0,Yes,High School,86,100,57,407,31,405,7.6,7,6.9,7.6,7.3,7.1,7.8,7.7,6.2,5.7,6.1,7.2,7,6.6,6.9,7.5
02M294,ESSEX STREET ACADEMY,53,394,384,378,1156,2.5,NA,NA,NA,NA,15,60.8,343,3.8,20.4,2,4.1,27.7,60.6,7.6,53.4,46.6,89,71.9,10.1,Manhattan,40.7168672240004,-73.98953194299963,0,Yes,High School,48,56,9,314,27,306,8.7,8.1,7.9,8.3,8,7.7,7.9,8.9,7.4,6.5,7.3,7.6,7.9,7.3,7.7,8.2
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111,2.5,NA,NA,NA,NA,23,72.4,419,9.5,14.8,17,5.3,26.5,66.1,2.1,32.2,67.8,75,77.3,6.7,Manhattan,40.7650267080004,-73.99251657799965,0,Yes,High School,61,96,56,385,28,365,8,7.3,7.1,7.5,8.6,8.1,8.7,8.9,7.1,6.5,7,7.4,7.9,7.3,7.6,8
02M298,PACE HIGH SCHOOL,85,423,438,432,1293,21,21,NA,1,NA,21,56.7,414,2.2,13.8,3,10.1,32.4,42,3.9,43.7,56.3,92,84.8,4.3,Manhattan,40.71641239300049,-73.99267584399968,0,Yes,High School,96,100,46,407,29,401,7.5,7.1,6.9,7.5,6.6,6.3,6.8,7.1,6.6,6.2,6.7,7.5,6.9,6.6,6.8,7.4
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,99,117,10,1.1818181818181819,8.547008547008547,23,75.3,431,10.9,20,12,6,29.2,59.2,4.9,74.9,25.1,80,61.3,8.800000000000002,Manhattan,40.7650267080004,-73.99251657799965,0,Yes,High School,92,85,34,381,27,366,8.6,7.9,7.7,8.1,7.3,6,6.9,7.5,6.5,5.7,6.1,7.2,7.5,6.5,6.9,7.6
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,42,44,NA,1.0476190476190477,NA,22,75.6,451,20.8,21.7,9,0.7,23.5,73.2,2.4,50.6,49.4,71,47.9,19.7,Manhattan,40.7650267080004,-73.99251657799965,0,Yes,High School,83,100,53,386,36,377,8.2,7.8,7.6,8,7.4,7.4,7.7,7.9,7,6.6,6.8,7.4,7.5,7.3,7.3,7.8
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,25,37,15,1.48,40.54054054054054,21,68.3,312,6.1,17,5,3.8,41.7,50.6,3.5,43.9,56.1,61,75.4,16.4,Manhattan,40.7168672240004,-73.98953194299963,0,Yes,High School,82,79,4,273,19,268,7.5,7.4,7.3,7.7,5.4,4.3,5.8,6,6,6,6,7.2,6.1,5.6,6.2,6.8
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,2.5,NA,NA,NA,NA,23,62.2,336,3.9,24.7,3,9.5,30.7,55.7,3.6,39.9,60.1,68,67.6,8.800000000000002,Manhattan,40.7168672240004,-73.98953194299963,0,Yes,High School,78,54,15,307,24,299,7.8,7.4,7.3,7.4,7.4,7.5,7.7,8,6.6,5.8,6.7,7.3,7.3,6.9,7.2,7.6
